date,equity
2024-08-23,99876.43
2024-08-26,99876.43
2024-08-27,99876.43
2024-08-28,99876.43
2024-08-29,99876.43
2024-08-30,99876.43
2024-09-03,99876.43
2024-09-04,99876.43
2024-09-05,99876.43
2024-09-06,99876.43
2024-09-09,99900.73
2024-09-10,99914.96
2024-09-11,99914.96
2024-09-12,99914.96
2024-09-13,99914.96
2024-09-16,99914.96
2024-09-17,99914.96
2024-09-18,99914.96
2024-09-19,99914.96
2024-09-20,99914.96
2024-09-23,99914.96
2024-09-24,99914.96
2024-09-25,99914.96
2024-09-26,99914.96
2024-09-27,99914.96
2024-09-30,99914.96
2024-10-01,99914.96
2024-10-02,99914.96
2024-10-03,99914.96
2024-10-04,99914.96
2024-10-07,99914.96
2024-10-08,99914.96
2024-10-09,99914.96
2024-10-10,99914.96
2024-10-11,99914.96
2024-10-14,99914.96
2024-10-15,99914.96
2024-10-16,99914.96
2024-10-17,99914.96
2024-10-18,99914.96
2024-10-21,99914.96
2024-10-22,99914.96
2024-10-23,99914.96
2024-10-24,99914.96
2024-10-25,99914.96
2024-10-28,99914.96
2024-10-29,99914.96
2024-10-30,99914.96
2024-10-31,99914.96
2024-11-01,99914.96
2024-11-04,99914.96
2024-11-05,99914.96
2024-11-06,99914.96
2024-11-07,99914.96
2024-11-08,99914.96
2024-11-11,99914.96
2024-11-12,99914.96
2024-11-13,99914.96
2024-11-14,99914.96
2024-11-15,99914.96
2024-11-18,99914.96
2024-11-19,99914.96
2024-11-20,99914.96
2024-11-21,99914.96
2024-11-22,99914.96
2024-11-25,99914.96
2024-11-26,99914.96
2024-11-27,99914.96
2024-11-29,99914.96
2024-12-02,99914.96
2024-12-03,99914.96
2024-12-04,99914.96
2024-12-05,99914.96
2024-12-06,99914.96
2024-12-09,99914.96
2024-12-10,99914.96
2024-12-11,99914.96
2024-12-12,99914.96
2024-12-13,99914.96
2024-12-16,99914.96
2024-12-17,99914.96
2024-12-18,99914.96
2024-12-19,99874.11
2024-12-20,99861.27
2024-12-23,99861.27
2024-12-24,99861.27
2024-12-26,99861.27
2024-12-27,99861.27
2024-12-30,99861.27
2024-12-31,99861.27
2025-01-02,99861.27
2025-01-03,99861.27
2025-01-06,99861.27
2025-01-07,99861.27
2025-01-08,99861.27
2025-01-10,99861.27
2025-01-13,99920.26
2025-01-14,99937.86
2025-01-15,99937.86
2025-01-16,99937.86
2025-01-17,99937.86
2025-01-21,99937.86
2025-01-22,99937.86
2025-01-23,99937.86
2025-01-24,99937.86
2025-01-27,99937.86
2025-01-28,99937.86
2025-01-29,99937.86
2025-01-30,99937.86
2025-01-31,99937.86
2025-02-03,99937.86
2025-02-04,99937.86
2025-02-05,99937.86
2025-02-06,99937.86
2025-02-07,99937.86
2025-02-10,99937.86
2025-02-11,99937.86
2025-02-12,99937.86
2025-02-13,99937.86
2025-02-14,99937.86
2025-02-18,99937.86
2025-02-19,99937.86
2025-02-20,99937.86
2025-02-21,99937.86
2025-02-24,99933.41
2025-02-25,99960.28
